,TOTAL_SECONDS_E,TOTAL_SECONDS_S,ESTACAO_E_m,ESTACAO_S_m
110544,54157,54936,CG,CP
110545,32396,33412,OR,SS
110546,80246,81257,MP,CM
110547,37693,38702,PO,PE
110548,64017,64803,JZ,BC
110549,33496,34348,JZ,TP
110550,68441,68844,SS,RE
110551,28791,29680,RO,AM
110552,61006,61848,MP,SP
110553,41032,41774,OR,AM
110554,51370,51600,CU,EC
110555,30497,31349,JZ,AS
110556,26896,27363,SA,CU
110557,68091,68538,CS,BC
110558,64566,65670,CM,PA
110559,26186,26705,AS,CM
110560,49365,50322,RO,OS
110561,31594,33378,OD,SS
110562,62233,62889,TE,EC
110563,40552,41505,CP,SS
110564,58669,59937,CH,MM
110565,48069,49107,OL,AP
110566,53849,54429,TE,RM
110567,49433,50530,CA,PA
110568,34164,35292,SA,RA
110569,62995,63307,TP,SP
110570,62430,64999,MM,AP
110571,65255,65784,BC,MP
110572,24995,26108,TP,RA
110573,36156,37132,SS,SP
110574,60088,61142,SA,AL
110575,51611,52010,CG,EC
110576,32400,33235,EC,MP
110577,85647,86267,JZ,SA
110578,57397,57767,AF,RB
110579,77199,78371,RE,RM
110580,26068,26909,CS,AE
110581,34457,35901,AS,BC
110582,24581,24973,RB,PO
110583,80458,80943,MM,RO
110584,62022,63144,MP,CM
110585,69006,69360,RM,CG
110586,61853,62764,AE,CS
110587,54348,55666,TE,RA
110588,39278,39432,JZ,PE
110589,29566,30092,SA,CU
110590,40957,41801,SS,CS
110591,35926,37431,CA,BC
110592,44260,44766,EC,CG
110593,65331,66263,CH,SA
110594,43237,43916,CG,OD
110595,28573,30655,OD,OR
110596,34343,34718,JZ,SS
110597,25849,27739,SR,RO
110598,43385,44210,OL,OR
110599,52953,54037,AM,CU
110600,73240,74661,CM,AM
110601,57281,57477,RO,MM
110602,64115,65353,SP,JZ
110603,40567,41719,AV,MM
110604,69084,71021,RA,RB
110605,28451,29567,OR,AM
110606,61655,63150,MP,OD
110607,53179,53716,SA,CU
110608,61738,63021,CG,CS
110609,28824,29874,OR,OS
110610,40552,40732,EC,CU
110611,23951,25653,SR,CS
110612,61431,62431,CU,OD
110613,60134,60530,CG,EC
110614,27774,28252,AL,AE
110615,65390,66688,CS,CG
110616,65694,66785,MP,TP
110617,51447,53402,SP,CM
110618,76024,76695,CU,SA
110619,32856,33879,RB,JZ
110620,72460,73073,AL,AM
110621,32902,33518,AN,AL
110622,49119,50461,IN,JZ
110623,70138,71112,SS,CA
110624,31705,32446,OR,OS
110625,66447,66700,SA,EC
110626,51446,52230,PO,PE
110627,60184,61404,SP,CS
110628,69098,69554,SS,JZ
110629,33267,33727,RM,CG
110630,65147,65885,AM,RA
110631,64391,65339,RA,CG
110632,26391,27390,CH,CP
110633,66258,67023,MP,LA
110634,36922,38083,SP,CU
110635,33036,34140,TP,AH
110636,65033,66397,SA,CM
110637,58433,59282,JZ,AF
110638,27225,29139,AF,SP
110639,65464,66893,RE,AF
110640,65223,66235,JZ,AS
110641,79079,80368,MP,RB
110642,41130,42044,SS,CA
110643,43937,45088,CH,CS
110644,31590,32069,CP,CG
110645,37513,38289,AH,MP
110646,45792,46267,CU,CG
110647,72638,73094,RO,MP
110648,84964,86737,RB,SS
110649,56348,57015,CP,CG
110650,36573,37204,MP,LA
110651,25893,26738,PO,JZ
110652,47785,49109,CM,BC
110653,66708,68027,SA,BC
110654,62679,63671,OR,SS
110655,61766,61948,MP,AV
110656,31646,32008,EC,CU
110657,51985,52602,AE,CG
110658,63592,64158,RA,SA
110659,33878,34374,BC,AN
110660,52216,54689,CM,MO
110661,32175,32537,MP,BC
110662,67120,67749,CS,MM
110663,28237,28617,RA,SA
110664,31156,32800,QC,AH
110665,30352,31127,CU,SA
110666,33345,34143,AM,AH
110667,64227,64684,SP,CS
110668,34077,35495,CP,CS
110669,43192,43757,AP,OR
110670,38600,39912,AS,SS
110671,31707,33044,OL,PE
110672,37778,38505,CG,CP
110673,40409,42402,AV,OR
110674,29716,30400,AX,EC
110675,46682,47338,CG,SA
110676,81195,81674,EC,SA
110677,79962,81175,AV,AS
110678,65661,66413,PO,JZ
110679,48267,49254,CU,LU
110680,64588,65792,AV,BV
110681,59902,62421,AF,OD
110682,67361,69161,BC,OD
110683,28285,28989,IN,TP
110684,52006,52377,CP,MP
110685,75418,75933,SA,MP
110686,31668,32101,JZ,SS
110687,38355,40575,PO,CP
110688,66357,67500,MP,AF
110689,61528,62141,SS,JZ
110690,63975,64662,CP,CG
110691,70430,71614,RA,CG
110692,32021,33682,AF,AV
110693,61035,62186,AM,OR
110694,58418,59769,OR,AN
110695,34678,35406,CG,PI
110696,33599,35194,AS,PI
110697,71721,72323,MP,JZ
110698,62776,63510,RA,EC
110699,60326,62511,LA,EN
110700,34887,36825,OD,OS
110701,42525,44577,CS,AP
110702,46659,46920,RE,CS
110703,49132,51168,AF,MM
110704,44830,46293,JZ,RO
110705,25377,26385,JZ,SP
110706,50275,51177,EC,QC
110707,33295,34521,OD,PI
110708,67789,69637,BC,MO
110709,40222,41790,CS,OR
110710,64986,65771,AM,SS
110711,66023,66582,CG,SR
110712,52185,54066,AE,CM
110713,54915,55829,TP,JZ
110714,61613,62902,MP,OD
110715,42452,44631,SP,OR
110716,68940,70811,AH,OR
110717,58431,59216,MP,CS
110718,63982,64851,EC,SR
110719,67986,69812,TP,OR
110720,64507,65469,OD,EC
110721,69251,69766,RM,TE
110722,62547,63059,AV,SP
110723,33442,34217,CS,SS
110724,28510,28971,TP,MP
110725,65477,67060,MM,LU
110726,30965,31508,TE,CU
110727,23409,25375,OL,RM
110728,34698,35418,CG,AM
110729,60689,61751,AL,BV
110730,64516,65818,CS,CG
110731,63130,63639,TP,MP
110732,63612,64674,MP,LU
110733,50661,51661,AM,OR
110734,32775,33273,RB,AF
110735,23594,24836,IN,OR
110736,55135,56527,PO,BC
110737,65075,67033,OR,CS
110738,27885,28389,OR,CH
110739,69129,69639,CG,EC
110740,62539,63306,MP,SP
110741,45290,46075,AM,CG
110742,80783,82352,SS,TE
110743,27891,28456,PI,EC
110744,37348,37618,RE,AV
110745,54306,55267,OD,SR
110746,25970,27363,OD,MP
110747,47353,48260,PA,CS
110748,26262,27740,OD,RM
110749,32959,33501,EC,PI
110750,78155,79169,CS,AM
110751,58601,59293,CS,AN
110752,68973,70073,BC,CM
110753,31245,32093,EC,OD
110754,51429,53612,OD,MP
110755,29690,30199,EC,CG
110756,34966,36072,SS,OR
110757,70240,71832,OS,TP
110758,67296,69042,OL,CM
110759,41604,42960,BC,SA
110760,35413,35769,TP,BC
110761,75770,76352,AF,RB
110762,25374,26570,MO,AM
110763,55844,56799,AF,SS
110764,50362,51037,SP,RE
110765,65991,66651,MP,RE
110766,78964,79745,CU,CG
110767,61481,61787,CA,CM
110768,60701,63310,RO,AP
110769,61886,62667,CU,RA
110770,67133,68002,SS,CM
110771,46448,47193,RA,CP
110772,84483,86346,BC,AF
110773,29127,30040,AH,AV
110774,25329,25894,RO,MM
110775,42070,43642,OD,MP
110776,29149,31508,PO,OR
110777,31177,31925,CS,MP
110778,30911,31955,CG,RA
110779,85856,87728,SA,AP
110780,77830,78716,MP,CG
110781,67437,67975,CU,CG
110782,65449,65844,CR,OR
110783,48338,49556,SA,OD
110784,48189,48538,PI,MP
110785,79803,81521,CM,AM
110786,56011,56629,PE,CM
110787,38638,40056,SA,CM
110788,53323,54260,AF,JZ
110789,74344,75216,BC,LA
110790,66546,66947,CG,QC
110791,63852,66048,AP,RO
110792,60618,62665,CS,OD
110793,31966,32384,CG,CU
110794,57460,58180,AP,OR
110795,62137,62973,OR,OS
110796,57325,59169,LA,OR
110797,57777,58771,MP,LA
110798,26194,26683,CG,AL
110799,62593,63586,LA,RB
110800,71697,73147,OR,AM
110801,33190,33611,EC,PI
110802,37198,38583,CH,AL
110803,52165,53072,CS,RM
110804,40167,41175,CS,AL
110805,31934,32562,BC,AE
110806,65672,66447,MP,LA
110807,47515,48523,SS,CM
110808,32884,34792,AF,AM
110809,54282,55354,RA,AM
110810,56943,57818,SA,EC
110811,69053,70529,SP,CG
110812,26210,27545,CS,RA
110813,31447,31904,TP,CS
110814,30036,31686,SA,CS
110815,35601,36237,MP,RE
110816,44408,45125,AM,MM
110817,31560,32302,OS,CP
110818,47409,47933,CU,SA
110819,30607,32226,OD,SS
110820,56056,57100,JZ,CS
110821,44223,44747,EC,CG
110822,63734,65463,RA,OD
110823,53596,54245,TE,EC
110824,27686,28483,RB,LA
110825,28144,28494,PO,CM
110826,56238,57203,AM,MP
110827,50127,51125,IN,OS
110828,68794,70387,MP,RB
110829,36398,38314,OR,MP
110830,68913,69441,SA,CG
110831,69727,71435,MP,OR
110832,31360,32065,MP,CG
110833,46853,48520,EC,CM
110834,28406,28808,RM,AL
110835,27787,28770,TE,CP
110836,48994,49665,TE,AL
110837,29218,29641,RM,AM
110838,65604,68121,AP,PI
110839,71153,71574,OR,MO
110840,27234,28182,TP,AM
110841,26314,27098,AM,CU
110842,47335,48550,TE,MP
110843,64825,65229,RE,TP
110844,68633,69507,EC,AM
110845,70185,70929,EC,AX
110846,67331,67812,EC,SA
110847,73714,74377,MP,TP
110848,42496,44283,SR,PI
110849,70285,71777,MP,SR
110850,29723,30882,OS,QC
110851,50586,52281,OR,PI
110852,69502,70210,BC,AM
110853,50975,51238,RO,IN
110854,41193,42681,BC,CM
110855,75959,78070,CM,CP
110856,29275,31167,EN,PE
110857,47397,48712,CG,CS
110858,69185,69612,BC,SP
110859,62433,62926,CS,BC
110860,35134,36038,AM,OR
110861,66927,67305,AH,JZ
110862,79202,80266,PI,CG
110863,34178,34483,MP,RE
110864,64068,65340,AS,MP
110865,80410,83059,TP,EN
110866,43564,44953,OR,CU
110867,26976,27627,EC,QC
110868,30594,30890,CG,CU
110869,59381,59878,RE,CS
110870,71155,72925,CG,CM
110871,52872,54148,OD,CG
110872,76317,77713,OS,CS
110873,66453,68037,SR,MP
110874,33410,34703,CG,TP
110875,35133,35465,RM,AM
110876,48846,49428,CG,SA
110877,49121,51857,AP,SP
110878,29112,29863,JZ,PO
110879,75204,75853,RO,AE
110880,48271,49328,CS,MP
110881,32105,32495,TP,BC
110882,54127,55876,CU,JZ
110883,30072,30745,RO,AN
110884,30000,30765,JZ,MP
110885,81112,81701,SS,OS
110886,25705,26734,OR,SS
110887,33524,34117,SP,BC
110888,42713,43412,AF,CM
110889,45101,45948,MM,TP
110890,63063,64095,AN,TP
110891,32140,33728,AF,RE
110892,51083,52207,MP,AE
110893,36845,38503,AP,OS
110894,26790,27576,SR,CG
110895,66011,66662,CA,JZ
110896,68451,68871,SA,RA
110897,62317,64701,AP,AV
110898,65104,66453,PI,OD
110899,57649,58666,PI,TP
110900,37309,37647,JZ,SS
110901,38467,39564,AV,CP
110902,26005,26864,OD,CU
110903,46061,46781,MM,AE
110904,43100,43379,IN,AM
110905,62578,63077,CG,EC
110906,42974,43935,AE,BC
110907,65346,66488,CP,OD
110908,32564,32822,CG,CU
110909,32026,32702,RB,CM
110910,31925,32918,RA,QC
110911,27443,28017,RO,CS
110912,37496,39198,AL,RA
110913,65401,66805,PI,OD
110914,40496,40920,MP,EC
110915,64536,65192,SR,CU
110916,65598,68117,AP,PI
110917,60343,61619,MP,PO
110918,31012,32235,TP,SA
110919,68824,69161,TP,RE
110920,63590,64429,CM,SA
110921,49800,51223,CG,BC
110922,65855,66511,OR,EN
110923,69781,70165,RE,MP
110924,24223,25050,JZ,MP
110925,39960,40585,PO,CM
110926,67420,67977,CG,SR
110927,41609,43084,AN,CM
110928,42895,43678,AE,TE
110929,69270,70055,MP,CM
110930,26730,27428,JZ,MP
110931,69864,70978,EC,AX
110932,43674,44410,CM,RB
110933,56926,57807,CU,SR
110934,68477,68837,SA,EC
110935,61972,62337,AH,JZ
110936,55621,56334,OR,OL
110937,60514,61548,CS,SP
110938,57578,59285,CH,AF
110939,29608,30251,CS,IN
110940,33440,33910,CG,AE
110941,48632,49129,AV,BC
110942,38231,38488,EC,SA
110943,34431,34890,CG,EC
110944,68681,69184,RB,PO
110945,44544,45666,CS,SP
110946,24054,25979,AP,RO
110947,64984,65496,RM,CG
110948,70156,71044,CS,MP
110949,50238,52232,PO,AE
110950,31413,32584,TP,CU
110951,41766,42783,SS,OR
110952,51600,53016,AM,BC
110953,37907,39595,CU,CM
110954,63978,64822,AP,OR
110955,37577,40082,BV,CM
110956,34395,34757,JZ,CM
110957,65652,67712,CS,RB
110958,42533,42905,CG,EC
110959,68572,69292,MP,OS
110960,49506,50403,CP,RA
110961,27426,28346,CH,PI
110962,65912,66792,CU,OD
110963,27673,29539,CS,PA
110964,48202,49617,RE,CU
110965,85998,88409,AP,PO
110966,67353,68769,SA,PO
110967,48002,48830,CU,OD
110968,31739,33010,MO,SS
110969,44822,45477,IN,CS
110970,60858,61659,OD,CG
110971,45876,46458,RA,CP
110972,80979,82212,BC,CM
110973,69254,70087,MP,CS
110974,33456,34832,MO,SS
110975,72611,74545,RO,OD
110976,64999,66327,AL,CS
110977,31273,33021,CP,MM
110978,69412,70889,OR,MM
110979,32983,33879,AF,JZ
110980,33198,33709,SA,MP
110981,36227,37286,EC,BC
110982,65306,65995,CS,AM
110983,72171,73133,CS,RM
110984,71378,72279,TP,PE
110985,81475,81809,AN,AM
110986,47373,47840,RM,AN
110987,23668,31873,CS,IN
110988,85198,85638,MP,SA
110989,29658,31225,AF,BC
110990,44651,45197,CS,RO
110991,57990,58596,AN,AE
110992,74836,76009,EC,BV
110993,48535,49961,SA,RO
110994,23393,23929,JZ,LA
110995,32289,32664,AL,AM
110996,49135,49353,EC,CP
110997,65767,67114,PE,AM
110998,63920,64599,RB,CM
110999,85084,86007,CG,OD
111000,66843,67826,OS,AN
111001,61820,62737,SS,JZ
111002,69563,70973,CS,SA
111003,66298,66773,SA,MP
111004,29672,30812,OR,SA
111005,69592,70756,SS,CG
111006,59561,60226,EC,RA
111007,46489,47351,JZ,RE
111008,64730,66132,CP,AM
111009,63090,63456,LU,QC
111010,24535,25468,CG,OD
111011,26828,27156,SA,RA
111012,31492,32163,AN,BC
111013,69848,70538,BC,RM
111014,62917,63846,BC,AE
111015,70907,72069,CP,SR
111016,54209,55257,CP,OL
111017,38274,40102,OD,RA
111018,57201,57723,BC,CS
111019,50090,51281,RO,TE
111020,51145,51506,SA,EC
111021,64833,65275,CU,CG
111022,33384,34685,SR,RA
111023,67558,68302,JZ,AF
111024,70863,72689,OR,CS
111025,75256,76003,SA,BV
111026,35499,37131,MP,CH
111027,32838,33187,EC,CG
111028,32258,32641,RE,AV
111029,26854,27858,SR,EC
111030,29908,30248,JZ,SS
111031,72694,73324,CG,EC
111032,30050,31720,OR,TE
111033,51244,52749,CM,SA
111034,34247,34571,RA,SA
111035,64819,66243,MM,OR
111036,31225,32522,AS,MP
111037,27437,28599,SR,SA
111038,64878,65751,CG,AM
111039,37363,37885,EC,CG
111040,34092,34506,EC,PI
111041,50151,51064,SA,OS
111042,48379,48886,RE,SS
111043,29712,30182,AN,BC
111044,29824,31578,RB,SS
111045,39580,40428,AM,OR
111046,64336,64962,EC,RA
111047,72570,72796,CG,CU
111048,32314,32712,MM,AN
111049,70358,70986,AM,BV
111050,64100,64670,MP,BC
111051,59955,60795,MP,CG
111052,30552,32005,SA,CM
111053,49673,50241,CU,MP
111054,68294,69308,MP,AF
111055,74728,76935,AP,MP
111056,66406,68026,AH,CS
111057,32651,34414,CS,AH
111058,40297,41454,AV,PO
111059,57562,58645,EC,OD
111060,65752,67115,SS,AS
111061,26273,26997,LU,EC
111062,40808,41916,AV,AF
111063,81473,82082,BC,MP
111064,53510,54085,CM,AS
111065,78376,80309,BC,OR
111066,64170,66034,AV,MO
111067,44221,44588,EC,SA
111068,37162,37849,RA,CP
111069,63893,64074,LA,JZ
111070,65405,66604,SS,PO
111071,52768,53418,RA,SA
111072,60531,61253,CS,MM
111073,77058,78270,RE,PO
111074,49314,49590,CU,EC
111075,56138,57077,CU,RA
111076,38316,38999,PA,BC
111077,55249,56236,SS,AM
111078,29122,31063,OD,BC
111079,45774,47081,OD,PI
111080,45382,45904,MP,CP
111081,58619,60813,JZ,OD
111082,61867,62997,CG,CS
111083,66492,67197,CU,RA
111084,25674,26410,EC,CG
111085,66578,68692,MM,MO
111086,36931,38133,TE,CP
111087,32550,34576,OD,CS
111088,55070,57061,EC,CS
111089,32461,33751,TE,RO
111090,29367,30183,RE,SP
111091,32345,33260,CS,AM
111092,32387,33314,RM,CS
111093,26454,27732,CM,SA
111094,52262,53099,OR,AP
111095,66594,67898,SA,OL
111096,74229,74676,PO,CM
111097,62336,62720,SP,RE
111098,59661,60348,CU,QC
111099,28274,28936,AF,LA
111100,46080,46783,RA,SA
111101,43803,44030,CU,EC
111102,55161,55600,CP,RA
111103,85751,88438,OR,AF
111104,28639,29060,EC,SA
111105,29734,30519,AM,OL
111106,27028,27893,AF,PE
111107,33313,34189,LA,MP
111108,71968,72624,SA,EC
111109,64432,64868,MP,SA
111110,50973,51954,RE,PI
111111,55495,55837,CU,EC
111112,39444,39780,EC,SA
111113,57655,58911,TP,EC
111114,60217,60892,CS,IN
111115,33162,34144,LU,MP
111116,35042,37361,AP,CS
111117,29338,30418,OD,PI
111118,29700,31051,CS,EC
111119,31240,31696,JZ,SS
111120,86431,88672,BC,OD
111121,55826,56407,OR,MO
111122,31342,32364,AH,BC
111123,69377,70955,MP,MO
111124,41480,41837,MP,RA
111125,65439,66251,EC,AX
111126,60131,60330,AV,RE
111127,52790,53531,MP,CG
111128,63195,65006,OR,CM
111129,67577,68625,CS,CG
111130,85038,86028,RA,CG
111131,36607,36837,AN,AM
111132,74240,75931,CG,OR
111133,30228,31304,SP,MP
111134,68359,68725,OD,SR
111135,58506,58819,EC,CG
111136,38752,39575,TP,SS
111137,63581,64562,SA,OL
111138,73268,74596,SA,OD
111139,30875,32203,OD,SA
111140,40435,40982,SP,BC
111141,52074,53025,CG,MP
111142,31427,32813,IN,CU
111143,52754,54055,RB,SS
111144,57932,58328,IN,RO
111145,61038,61465,MP,RE
111146,62307,63200,SA,OS
111147,64284,65093,RA,EC
111148,56118,57310,SR,CP
111149,66156,67222,OR,AM
111150,71191,72488,SP,AH
111151,30947,31371,EN,OR
111152,65115,66823,BC,AS
111153,65018,65566,SS,SA
111154,61197,62081,MP,LU
111155,39464,41764,MP,AP
111156,34064,34516,EC,PI
111157,31663,32593,OS,JZ
111158,74106,75152,RE,CA
111159,61737,62412,SA,CG
111160,24686,25764,CH,IN
111161,58788,59316,SS,PA
111162,68302,68830,BV,MO
111163,33862,35126,SS,OR
111164,63842,64985,CM,MP
111165,75895,76413,RO,CS
111166,63901,64823,AV,AN
111167,36758,37376,AS,PO
111168,50307,51203,RM,CS
111169,34950,35747,CS,MM
111170,26434,27914,LU,MP
111171,65335,65836,CU,SA
111172,31417,31757,CG,CU
111173,30585,30958,LA,CM
111174,61811,63390,AM,CM
111175,76593,77487,CS,RM
111176,33159,33754,RE,PA
111177,62339,62589,AL,CG
111178,61326,62316,SA,AN
111179,31533,32089,CG,AL
111180,53372,54757,QC,CP
111181,62295,62938,CM,RB
111182,57437,57868,TP,SP
111183,65951,66487,RE,TP
111184,41211,41880,MP,CU
111185,57749,58573,TE,AE
111186,62951,64638,MP,EN
111187,67863,70331,CS,CM
111188,34359,35471,AE,CS
111189,50952,51991,QC,MP
111190,65478,65781,AM,AE
111191,26277,27373,OD,CU
111192,64408,64673,IN,MM
111193,47923,49176,AV,CU
111194,45412,46005,CM,LA
111195,38474,39435,MP,CU
111196,70955,71673,AM,CG
111197,40762,42142,SP,SS
111198,52033,53685,PE,AN
111199,88495,90527,CG,OL
111200,49253,50799,RE,AS
111201,53726,54416,AX,OD
111202,56935,57409,AP,OR
111203,78067,79096,RM,MM
111204,61904,63943,CP,RB
111205,34812,35728,RE,LA
111206,29893,30206,EC,CG
111207,55528,56887,JZ,RO
111208,84511,85465,IN,AM
111209,25707,27127,AP,SA
111210,66382,68558,CM,OR
111211,39179,41142,OR,TP
111212,37636,38745,CG,RO
111213,52000,54073,OD,CS
111214,64910,65145,RA,MP
111215,36248,37401,AN,MP
111216,60640,61587,PI,CG
111217,50433,50911,MM,CS
111218,61464,62422,LU,EC
111219,27493,28183,PO,PE
111220,48612,48956,CS,BC
111221,79117,79714,AL,TE
111222,24940,26382,AF,MP
111223,60628,61185,RO,AE
111224,63629,64778,RO,RM
111225,45611,46363,AM,CR
111226,29431,30155,TP,PA
111227,86431,87159,CM,RB
111228,78649,79279,CU,EC
111229,74427,75293,AM,CS
111230,54274,55022,OR,AP
111231,63598,64247,AL,CG
111232,62836,63459,QC,AE
111233,57590,58885,CG,CS
111234,31747,32677,OR,AP
111235,49659,51485,CS,EC
111236,59381,60199,MP,JZ
111237,33266,34044,AM,CG
111238,70098,72173,OR,OD
111239,69384,70812,RA,AL
111240,63285,63995,JZ,AF
111241,32526,34440,CA,CG
111242,64967,66301,SA,AH
111243,71902,72204,RO,IN
111244,29209,30514,TP,AL
111245,32448,33772,SP,JZ
111246,47779,48708,SP,CS
111247,33381,34469,SR,SA
111248,33639,34087,CG,RM
111249,53873,54333,AV,SS
111250,81668,82766,TP,PA
111251,52066,53251,CS,PE
111252,61698,62783,LA,TP
111253,29220,29846,CG,RM
111254,35868,36441,CG,AL
111255,30902,34749,SR,JZ
111256,27045,28065,CM,SS
111257,75919,76175,AL,CG
111258,63813,64318,AM,SA
111259,27737,28599,SA,CU
111260,25815,27162,OL,BC
111261,29298,31288,AS,EC
111262,25546,25823,EC,SA
111263,64535,65861,SA,OR
111264,31302,32277,OR,SA
111265,68672,69736,RA,BV
111266,45549,46539,JZ,CS
111267,72092,72963,LA,AS
111268,41232,42150,BC,SS
111269,46547,48562,AP,MP
111270,45958,46562,AM,IN
111271,31006,32078,CA,MP
111272,29075,29538,EC,PI
111273,39272,40157,SS,CH
111274,72867,73300,OR,OL
111275,58029,59596,CM,CS
111276,68401,68947,CP,RA
111277,60539,61478,CS,AM
111278,62904,64465,MO,AV
111279,28525,29467,CA,MP
111280,64271,65473,RB,SS
111281,51330,52719,AN,BC
111282,32384,33215,TE,AN
111283,30575,32235,SA,SP
111284,77092,78631,CM,AM
111285,78299,79125,EC,MP
111286,31057,31485,RE,MP
111287,65499,66669,BC,AH
111288,62540,64132,RA,OD
111289,25384,27756,CS,CM
111290,69756,70665,RE,JZ
111291,46978,49149,CS,AP
111292,48404,49000,EC,CG
111293,68535,69073,CG,EC
111294,29150,30396,LU,AM
111295,63370,64712,SA,AL
111296,35393,35588,BC,RE
111297,28520,29125,OR,OL
111298,41276,41803,CS,AN
111299,34820,36988,MO,CS
111300,63192,64107,CS,MP
111301,26667,27026,AM,RM
111302,35226,35584,CG,EC
111303,38990,39369,AN,AM
111304,32217,34397,AS,CS
111305,39470,39841,EC,CU
111306,65570,66200,AN,CS
111307,29210,30062,QC,PI
111308,66463,68026,MP,AS
111309,62628,63750,RO,CG
111310,35418,36086,JZ,MP
111311,30808,31607,AM,CG
111312,62720,64795,JZ,AP
111313,76632,77317,SS,AM
111314,54036,56265,SR,OR
111315,36160,36514,OS,AM
111316,42831,43813,AL,BV
111317,24575,25901,RB,MP
111318,34411,35358,CS,SP
111319,33478,34241,TP,MM
111320,26875,28302,CA,SA
111321,27791,28360,MP,CU
111322,47189,49395,JZ,CS
111323,27047,27664,CS,RE
111324,39098,39720,AM,SA
111325,30311,31518,CG,BC
111326,24228,24818,CS,RO
111327,37413,37952,CG,CU
111328,42036,42621,JZ,PA
111329,31982,32986,CG,RA
111330,50203,51207,SR,QC
111331,48263,49542,IN,BV
111332,67717,68652,SS,CG
111333,61018,62127,AL,OD
111334,24164,25590,JZ,PO
111335,58183,58952,JZ,CM
111336,30611,31504,CS,MP
111337,61387,62525,PI,OR
111338,46772,48104,EC,OD
111339,34057,35593,LU,OL
111340,29639,29896,OS,BV
111341,82196,82561,RB,AF
111342,39282,40023,JZ,CM
111343,59802,60402,MP,PE
111344,39326,40567,SA,OR
111345,31177,31731,TE,RM
111346,44943,45475,OR,OL
111347,65581,66373,SS,RM
111348,28831,29275,CG,EC
111349,65309,66822,MP,OD
111350,59413,59971,PI,EC
111351,73894,74372,BC,MP
111352,72580,73296,PI,EC
111353,31716,32138,EC,SA
111354,68638,69246,SA,CG
111355,27451,28912,TP,AE
111356,66342,68037,CS,CM
111357,33710,34475,CG,AN
111358,46628,48314,LU,CS
111359,53986,55652,AM,OD
111360,66221,67047,CG,RA
111361,56452,57871,SS,SR
111362,76091,77212,MP,CA
111363,69480,70223,TE,AM
111364,36224,36826,EC,QC
111365,29223,31202,AX,OR
111366,61667,62395,MP,EC
111367,65680,66218,MP,RE
111368,34846,35363,SA,CU
111369,33617,33899,CG,CU
111370,68411,70169,SP,AF
111371,67019,68347,SS,AN
111372,58807,60772,MP,LU
111373,38119,39566,BV,RA
111374,78781,79734,CG,AM
111375,49848,51259,CH,CS
111376,75461,76352,RB,CM
111377,35278,36954,AE,OR
111378,34787,35087,CS,BC
111379,58309,58951,SP,MP
111380,42888,43348,MP,SA
111381,53519,54029,JZ,SS
111382,32010,32420,SA,MP
111383,75128,77036,BC,MO
111384,30695,31234,JZ,CM
111385,32370,33157,AX,CU
111386,29290,31061,OS,CS
111387,61008,61582,BC,SP
111388,30949,31508,JZ,SS
111389,34857,35493,MM,AM
111390,50331,50724,BV,OS
111391,58154,60036,RO,OD
111392,61629,61934,CG,EC
111393,40394,41058,AV,BC
111394,57157,57869,CU,OD
111395,78666,79305,AS,CM
111396,76518,78558,CU,CS
111397,58924,60036,BC,AL
111398,65992,67888,RO,RM
111399,27646,28007,OL,OR
111400,51386,51845,SA,EC
111401,57609,58261,SA,EC
111402,62003,63307,AM,AH
111403,46081,46540,RO,CS
111404,32119,32587,JZ,AH
111405,51708,53349,AN,CM
111406,53561,55202,RA,CM
111407,79940,80222,CU,CG
111408,28990,30014,RA,LU
111409,64746,66150,MP,OL
111410,65683,66612,CS,AM
111411,55730,56676,SA,OR
111412,44074,45994,OR,CG
111413,66408,68204,PE,CH
111414,71943,72573,BC,AN
111415,26641,27050,CG,EC
111416,25413,25803,JZ,SS
111417,86524,87384,SS,AM
111418,75754,77613,AN,CM
111419,67272,67944,CU,CG
111420,68670,69539,AM,OR
111421,28725,30311,TE,CS
111422,41677,42471,AE,CS
111423,44827,46065,CP,OD
111424,72804,73403,EC,CU
111425,53087,53329,CP,SA
111426,29896,31155,AX,SA
111427,30210,30390,AE,RM
111428,67538,68484,AM,CG
111429,45960,46522,QC,CG
111430,65548,66337,JZ,AF
111431,58400,59372,QC,EC
111432,52310,53583,AS,SS
111433,63893,64407,JZ,SS
111434,51031,51625,CS,MM
111435,29488,30022,RB,CA
111436,61919,63483,CR,QC
111437,36521,38082,OR,CU
111438,63504,63915,MP,SA
111439,46780,48690,OD,RA
111440,28231,29136,CS,SP
111441,54544,55124,AN,BC
111442,57084,58978,PO,RA
111443,66574,66979,JZ,CM
111444,83187,85503,RO,SR
111445,63454,65603,RE,OD
111446,88586,90787,BC,MO
111447,64517,66018,MO,AL
111448,31242,31951,AH,SS
111449,30622,31386,OD,CG
111450,63162,63628,CU,LU
111451,28896,29318,CP,RA
111452,30678,32241,RA,OR
111453,32303,33791,AN,JZ
111454,34478,35778,AM,AP
111455,31198,32776,MO,AN
111456,35626,36959,SA,OR
111457,26439,28250,MP,AP
111458,72928,73347,BC,MP
111459,61853,64415,CS,AP
111460,25305,26029,JZ,CM
111461,63858,64551,RE,JZ
111462,51729,52703,CG,LU
111463,63884,64189,MP,SA
111464,55414,56835,PO,BC
111465,65844,66990,MM,CH
111466,68044,69031,AV,AM
111467,60351,60981,RO,AE
111468,30074,31272,CG,PI
